Mono Blue
%
27e92f54-0084-57c2-85e5-197e026fab5c 2
1c17ce18-bf3e-558b-9389-632588f93851 1
fdd488e3-cbe3-5684-b7b8-38997728f653 1
249e6587-885e-5fbc-8593-b13114de5e2b 1
cbe924ee-7b84-5d9f-8917-dbc618d5df9e 3
a431d592-5825-5ed3-8201-cd7571860083 3
3f41a94d-ecd3-56eb-b4be-48b7e7f7dc6f 1
a3fa938c-157a-5762-bf66-3187a5facb1c 8
ea3ed63f-cb6c-5296-a471-191c3ae7cbde 8
304ecd98-07f7-5242-abef-84a8793bf997 2
5dd1158c-6210-5a8c-a9bb-63df7f25d10a 1
9a5a5647-6004-521c-ac24-8717505ce425 1
7a874dfe-b338-5ea0-884f-9f5c777ec1d0 3
477c092f-c30f-5d95-b7bd-bf25cdd31c7d 3
2561a0da-cb24-5246-bd0f-52e4b1ccbde7 1
5d1822d2-b796-551b-b8db-0d7ca279dd5a 1
---
Mono Black
%
79be3c98-be7a-5d7e-b7e3-1174b6dafa03 2
09ba97e8-43f1-5288-8703-b10f7c1afec9 1
4d49377c-186e-5ee5-b7ba-bf2ace531292 1
8b2db882-51f7-581c-ac85-117c87647d1d 3
f6ffcf8f-af06-5e23-9b98-f96f29d82aa3 2
5b3b7079-c372-5c74-b0f6-b1c20f1ca809 2
96e1d01d-5d3c-5b36-b1ee-e6e77ebb45ad 1
3a6a0d86-c65c-5623-99ca-0de799e5bdfb 3
1b8edacc-510b-5355-8db5-44763f995bbe 3
962e3157-5720-5b9c-a4ea-9527fdfbb606 3
075d914c-d9c8-5130-8146-b2a75389d184 1
2e49af91-8005-516d-8ceb-fd714c45d7de 8
2f4e125b-ef7c-5b61-904e-2230a1802c9e 8
0a46dd05-7bb0-5f29-9a15-af9601cacbfd 2
